"states","years","quarter","district","transaction_count","transaction_amount"
"Andaman & Nicobar",2020,2,"south andaman district","3","795"
"Andaman & Nicobar",2020,2,"nicobars district","3","565"
"Andaman & Nicobar",2020,3,"north and middle andaman district","1","281"
"Andaman & Nicobar",2020,3,"south andaman district","35","13651"
"Andaman & Nicobar",2020,3,"nicobars district","5","1448"
"Andaman & Nicobar",2020,4,"north and middle andaman district","13","17734"
"Andaman & Nicobar",2020,4,"south andaman district","109","137494"
"Andaman & Nicobar",2020,4,"nicobars district","2","2747"
"Andaman & Nicobar",2021,1,"north and middle andaman district","48","63978"
"Andaman & Nicobar",2021,1,"south andaman district","164","167044"
"Andaman & Nicobar",2021,1,"nicobars district","13","13244"
"Andaman & Nicobar",2021,2,"north and middle andaman district","28","45311"
"Andaman & Nicobar",2021,2,"south andaman district","105","121104"
"Andaman & Nicobar",2021,2,"nicobars district","4","15089"
"Andaman & Nicobar",2021,3,"north and middle andaman district","33","50997"
"Andaman & Nicobar",2021,3,"south andaman district","182","223699"
"Andaman & Nicobar",2021,3,"nicobars district","15","30539"
"Andaman & Nicobar",2021,4,"north and middle andaman district","81","182061"
"Andaman & Nicobar",2021,4,"south andaman district","632","800758"
"Andaman & Nicobar",2021,4,"nicobars district","44","73561"
"Andaman & Nicobar",2022,1,"north and middle andaman district","48","85229"
"Andaman & Nicobar",2022,1,"south andaman district","692","982206"
"Andaman & Nicobar",2022,1,"nicobars district","28","63852"
"Andaman & Nicobar",2022,2,"north and middle andaman district","45","90403"
"Andaman & Nicobar",2022,2,"south andaman district","430","633029"
"Andaman & Nicobar",2022,2,"nicobars district","26","56308"
"Andaman & Nicobar",2022,3,"north and middle andaman district","70","129013"
"Andaman & Nicobar",2022,3,"south andaman district","535","687813"
"Andaman & Nicobar",2022,3,"nicobars district","38","85640"
"Andaman & Nicobar",2022,4,"north and middle andaman district","112","224198"
"Andaman & Nicobar",2022,4,"south andaman district","750","1114857"
"Andaman & Nicobar",2022,4,"nicobars district","39","102155"
"Andaman & Nicobar",2023,1,"north and middle andaman district","85","178969"
"Andaman & Nicobar",2023,1,"south andaman district","872","1172083"
"Andaman & Nicobar",2023,1,"nicobars district","47","88146"
"Andaman & Nicobar",2023,2,"north and middle andaman district","56","109742"
"Andaman & Nicobar",2023,2,"south andaman district","670","1060976"
"Andaman & Nicobar",2023,2,"nicobars district","42","62677"
"Andaman & Nicobar",2023,3,"north and middle andaman district","77","133536"
"Andaman & Nicobar",2023,3,"south andaman district","682","1052324"
"Andaman & Nicobar",2023,3,"nicobars district","36","65285"
"Andaman & Nicobar",2023,4,"north and middle andaman district","95","156995"
"Andaman & Nicobar",2023,4,"south andaman district","1006","1504528"
"Andaman & Nicobar",2023,4,"nicobars district","44","96298"
"Andaman & Nicobar",2024,1,"north and middle andaman district","125","229226"
"Andaman & Nicobar",2024,1,"south andaman district","1190","1657627"
"Andaman & Nicobar",2024,1,"nicobars district","56","77703"
"Andhra Pradesh",2020,2,"east godavari district","1913","352220"
"Andhra Pradesh",2020,2,"srikakulam district","536","107046"
"Andhra Pradesh",2020,2,"spsr nellore district","931","176423"
"Andhra Pradesh",2020,2,"vizianagaram district","893","166029"
"Andhra Pradesh",2020,2,"visakhapatnam district","3504","614212"
"Andhra Pradesh",2020,2,"prakasam district","847","161709"
"Andhra Pradesh",2020,2,"anantapur district","2739","485777"
"Andhra Pradesh",2020,2,"ysr district","1978","343002"
"Andhra Pradesh",2020,2,"west godavari district","1074","202289"
"Andhra Pradesh",2020,2,"kurnool district","825","158720"
"Andhra Pradesh",2020,2,"chittoor district","2228","395099"
"Andhra Pradesh",2020,2,"guntur district","1938","344326"
"Andhra Pradesh",2020,2,"krishna district","2698","475539"
"Andhra Pradesh",2020,3,"east godavari district","3783","970549"
"Andhra Pradesh",2020,3,"srikakulam district","1535","383049"
"Andhra Pradesh",2020,3,"spsr nellore district","5509","1259159"
"Andhra Pradesh",2020,3,"vizianagaram district","2999","691281"
"Andhra Pradesh",2020,3,"visakhapatnam district","7906","1892376"
"Andhra Pradesh",2020,3,"prakasam district","2565","722751"
"Andhra Pradesh",2020,3,"anantapur district","2911","764850"
"Andhra Pradesh",2020,3,"ysr district","3397","847519"
"Andhra Pradesh",2020,3,"west godavari district","2543","696749"
"Andhra Pradesh",2020,3,"kurnool district","3493","841970"
"Andhra Pradesh",2020,3,"chittoor district","4422","1178762"
"Andhra Pradesh",2020,3,"guntur district","4230","1083584"
"Andhra Pradesh",2020,3,"krishna district","4519","1093882"
"Andhra Pradesh",2020,4,"east godavari district","1965","1355741"
"Andhra Pradesh",2020,4,"srikakulam district","811","546440"
"Andhra Pradesh",2020,4,"spsr nellore district","1348","810758"
"Andhra Pradesh",2020,4,"vizianagaram district","897","651040"
"Andhra Pradesh",2020,4,"visakhapatnam district","3464","2203761"
"Andhra Pradesh",2020,4,"prakasam district","1190","572976"
"Andhra Pradesh",2020,4,"anantapur district","1534","794053"
"Andhra Pradesh",2020,4,"ysr district","1165","631876"
"Andhra Pradesh",2020,4,"west godavari district","1390","906282"
"Andhra Pradesh",2020,4,"kurnool district","1092","500768"
"Andhra Pradesh",2020,4,"chittoor district","1727","1168506"
"Andhra Pradesh",2020,4,"guntur district","2570","1620649"
"Andhra Pradesh",2020,4,"krishna district","2311","1222782"
"Andhra Pradesh",2021,1,"east godavari district","1937","1065604"
"Andhra Pradesh",2021,1,"srikakulam district","854","588769"
"Andhra Pradesh",2021,1,"spsr nellore district","1323","714947"
"Andhra Pradesh",2021,1,"vizianagaram district","781","526804"
"Andhra Pradesh",2021,1,"visakhapatnam district","4006","2403199"
"Andhra Pradesh",2021,1,"prakasam district","1182","585354"
"Andhra Pradesh",2021,1,"anantapur district","1264","621128"
"Andhra Pradesh",2021,1,"ysr district","1265","729565"
"Andhra Pradesh",2021,1,"west godavari district","1460","850251"
"Andhra Pradesh",2021,1,"kurnool district","1270","508161"
"Andhra Pradesh",2021,1,"chittoor district","1629","1058050"
"Andhra Pradesh",2021,1,"guntur district","2412","1398326"
"Andhra Pradesh",2021,1,"krishna district","2722","1699716"
"Andhra Pradesh",2021,2,"east godavari district","2343","1695121"
"Andhra Pradesh",2021,2,"srikakulam district","842","755796"
"Andhra Pradesh",2021,2,"spsr nellore district","1817","1245872"
"Andhra Pradesh",2021,2,"vizianagaram district","815","702006"
"Andhra Pradesh",2021,2,"visakhapatnam district","4655","3497573"
"Andhra Pradesh",2021,2,"prakasam district","5308","2719134"
"Andhra Pradesh",2021,2,"anantapur district","1631","1284850"
"Andhra Pradesh",2021,2,"ysr district","1404","1026195"
"Andhra Pradesh",2021,2,"west godavari district","4170","2327122"
"Andhra Pradesh",2021,2,"kurnool district","1410","941389"
"Andhra Pradesh",2021,2,"chittoor district","2392","1839579"
"Andhra Pradesh",2021,2,"guntur district","2967","2201793"
"Andhra Pradesh",2021,2,"krishna district","3451","2494257"
"Andhra Pradesh",2021,3,"east godavari district","2248","2073825"
"Andhra Pradesh",2021,3,"srikakulam district","798","803258"
"Andhra Pradesh",2021,3,"spsr nellore district","1486","1161025"
"Andhra Pradesh",2021,3,"vizianagaram district","736","628946"
"Andhra Pradesh",2021,3,"visakhapatnam district","4044","3191769"
"Andhra Pradesh",2021,3,"prakasam district","1050","877683"
"Andhra Pradesh",2021,3,"anantapur district","1329","1311735"
"Andhra Pradesh",2021,3,"ysr district","1137","1033282"
"Andhra Pradesh",2021,3,"west godavari district","1452","1216098"
"Andhra Pradesh",2021,3,"kurnool district","1027","796678"
"Andhra Pradesh",2021,3,"chittoor district","1991","1995617"
"Andhra Pradesh",2021,3,"guntur district","2519","2102143"
"Andhra Pradesh",2021,3,"krishna district","3258","2722279"
"Andhra Pradesh",2021,4,"east godavari district","2532","3543718"
"Andhra Pradesh",2021,4,"srikakulam district","1116","1152210"
"Andhra Pradesh",2021,4,"spsr nellore district","2369","2345876"
"Andhra Pradesh",2021,4,"vizianagaram district","924","916336"
"Andhra Pradesh",2021,4,"visakhapatnam district","4176","5425896"
"Andhra Pradesh",2021,4,"prakasam district","1181","1328774"
"Andhra Pradesh",2021,4,"anantapur district","1322","2101400"
"Andhra Pradesh",2021,4,"ysr district","1449","1479933"
"Andhra Pradesh",2021,4,"west godavari district","1262","1853561"
"Andhra Pradesh",2021,4,"kurnool district","910","1306288"
"Andhra Pradesh",2021,4,"chittoor district","2444","3100521"
"Andhra Pradesh",2021,4,"guntur district","2709","3214794"
"Andhra Pradesh",2021,4,"krishna district","3029","3841028"
"Andhra Pradesh",2022,1,"east godavari district","3605","5199664"
"Andhra Pradesh",2022,1,"srikakulam district","1004","1393633"
"Andhra Pradesh",2022,1,"spsr nellore district","1878","2608475"
"Andhra Pradesh",2022,1,"vizianagaram district","949","1344329"
"Andhra Pradesh",2022,1,"visakhapatnam district","5196","6953446"
"Andhra Pradesh",2022,1,"prakasam district","1797","2181402"
"Andhra Pradesh",2022,1,"anantapur district","1551","2556602"
"Andhra Pradesh",2022,1,"ysr district","1439","2086496"
"Andhra Pradesh",2022,1,"west godavari district","1991","3109555"
"Andhra Pradesh",2022,1,"kurnool district","995","1641988"
"Andhra Pradesh",2022,1,"chittoor district","2887","4304499"
"Andhra Pradesh",2022,1,"guntur district","2748","3988284"
"Andhra Pradesh",2022,1,"krishna district","3914","5279784"
"Andhra Pradesh",2022,2,"east godavari district","3103","3899091"
"Andhra Pradesh",2022,2,"srikakulam district","946","1282760"
"Andhra Pradesh",2022,2,"spsr nellore district","2063","2686947"
"Andhra Pradesh",2022,2,"vizianagaram district","1145","1412957"
"Andhra Pradesh",2022,2,"visakhapatnam district","5851","7046107"
"Andhra Pradesh",2022,2,"prakasam district","1962","2331922"
"Andhra Pradesh",2022,2,"anantapur district","1794","2729962"
"Andhra Pradesh",2022,2,"ysr district","1418","1920103"
"Andhra Pradesh",2022,2,"west godavari district","2141","2903957"
"Andhra Pradesh",2022,2,"kurnool district","1233","1573534"
"Andhra Pradesh",2022,2,"chittoor district","2836","4207850"
"Andhra Pradesh",2022,2,"guntur district","3115","3979873"
"Andhra Pradesh",2022,2,"krishna district","4578","5733009"
"Andhra Pradesh",2022,3,"east godavari district","4355","5505134"
"Andhra Pradesh",2022,3,"srikakulam district","1079","1444643"
"Andhra Pradesh",2022,3,"spsr nellore district","2593","3257610"
"Andhra Pradesh",2022,3,"vizianagaram district","1270","1573445"
"Andhra Pradesh",2022,3,"visakhapatnam district","6720","7779967"
"Andhra Pradesh",2022,3,"prakasam district","2137","2552054"
"Andhra Pradesh",2022,3,"anantapur district","1934","2719786"
"Andhra Pradesh",2022,3,"ysr district","1892","2559169"
"Andhra Pradesh",2022,3,"west godavari district","2314","3113617"
"Andhra Pradesh",2022,3,"kurnool district","1318","1720753"
"Andhra Pradesh",2022,3,"chittoor district","3729","5145111"
"Andhra Pradesh",2022,3,"guntur district","4431","5271211"
"Andhra Pradesh",2022,3,"krishna district","5529","6149431"
"Andhra Pradesh",2022,4,"east godavari district","4450","5856052"
"Andhra Pradesh",2022,4,"srikakulam district","1294","1623449"
"Andhra Pradesh",2022,4,"spsr nellore district","2733","3658896"
"Andhra Pradesh",2022,4,"vizianagaram district","1373","1680979"
"Andhra Pradesh",2022,4,"visakhapatnam district","7636","9911879"
"Andhra Pradesh",2022,4,"prakasam district","2400","2848596"
"Andhra Pradesh",2022,4,"anantapur district","2425","3710468"
"Andhra Pradesh",2022,4,"ysr district","2261","2993022"
"Andhra Pradesh",2022,4,"west godavari district","2623","3513389"
"Andhra Pradesh",2022,4,"kurnool district","1810","2859172"
"Andhra Pradesh",2022,4,"chittoor district","4641","6166050"
"Andhra Pradesh",2022,4,"guntur district","5199","6244165"
"Andhra Pradesh",2022,4,"krishna district","5484","6977122"
"Andhra Pradesh",2023,1,"east godavari district","4069","5915626"
"Andhra Pradesh",2023,1,"srikakulam district","1100","1628429"
"Andhra Pradesh",2023,1,"spsr nellore district","2461","3621734"
"Andhra Pradesh",2023,1,"vizianagaram district","1104","1619607"
"Andhra Pradesh",2023,1,"visakhapatnam district","6752","9502319"
"Andhra Pradesh",2023,1,"prakasam district","1437","2188369"
"Andhra Pradesh",2023,1,"anantapur district","1565","2882540"
"Andhra Pradesh",2023,1,"ysr district","1509","2235497"
"Andhra Pradesh",2023,1,"west godavari district","2196","3370241"
"Andhra Pradesh",2023,1,"kurnool district","1208","2088411"
"Andhra Pradesh",2023,1,"chittoor district","3284","5677174"
"Andhra Pradesh",2023,1,"guntur district","3542","4957590"
"Andhra Pradesh",2023,1,"krishna district","4693","6275818"
"Andhra Pradesh",2023,2,"east godavari district","3690","5519480"
"Andhra Pradesh",2023,2,"srikakulam district","1083","1556225"
"Andhra Pradesh",2023,2,"spsr nellore district","2468","3679371"
"Andhra Pradesh",2023,2,"vizianagaram district","1227","1530183"
"Andhra Pradesh",2023,2,"visakhapatnam district","7000","8910217"
"Andhra Pradesh",2023,2,"prakasam district","1311","1880405"
"Andhra Pradesh",2023,2,"anantapur district","1688","3027497"
"Andhra Pradesh",2023,2,"ysr district","1652","2426306"
"Andhra Pradesh",2023,2,"west godavari district","2140","3383512"
"Andhra Pradesh",2023,2,"kurnool district","1473","2483871"
"Andhra Pradesh",2023,2,"chittoor district","3756","5988173"
"Andhra Pradesh",2023,2,"guntur district","3725","5015442"
"Andhra Pradesh",2023,2,"krishna district","5163","6666796"
"Andhra Pradesh",2023,3,"east godavari district","4157","5720660"
"Andhra Pradesh",2023,3,"srikakulam district","1308","1724487"
"Andhra Pradesh",2023,3,"spsr nellore district","3082","3962298"
"Andhra Pradesh",2023,3,"vizianagaram district","1274","1526422"
"Andhra Pradesh",2023,3,"visakhapatnam district","8972","11107138"
"Andhra Pradesh",2023,3,"prakasam district","1695","2170370"
"Andhra Pradesh",2023,3,"anantapur district","1947","3392196"
"Andhra Pradesh",2023,3,"ysr district","1900","2732465"
"Andhra Pradesh",2023,3,"west godavari district","2308","3162591"
"Andhra Pradesh",2023,3,"kurnool district","1723","2310997"
"Andhra Pradesh",2023,3,"chittoor district","3993","6350318"
"Andhra Pradesh",2023,3,"guntur district","4604","5810698"
"Andhra Pradesh",2023,3,"krishna district","6187","7831756"
"Andhra Pradesh",2023,4,"east godavari district","4294","6404501"
"Andhra Pradesh",2023,4,"srikakulam district","1327","1851290"
"Andhra Pradesh",2023,4,"spsr nellore district","2739","3968074"
"Andhra Pradesh",2023,4,"vizianagaram district","1350","1745449"
"Andhra Pradesh",2023,4,"visakhapatnam district","8787","12027284"
"Andhra Pradesh",2023,4,"prakasam district","1561","2357325"
"Andhra Pradesh",2023,4,"anantapur district","2143","3651525"
"Andhra Pradesh",2023,4,"ysr district","1923","2738253"
"Andhra Pradesh",2023,4,"west godavari district","2198","3630998"
"Andhra Pradesh",2023,4,"kurnool district","1829","3161720"
"Andhra Pradesh",2023,4,"chittoor district","4025","7322967"
"Andhra Pradesh",2023,4,"guntur district","4354","6154821"
"Andhra Pradesh",2023,4,"krishna district","5268","7328216"
"Andhra Pradesh",2024,1,"east godavari district","5344","6899327"
"Andhra Pradesh",2024,1,"srikakulam district","1651","1876987"
"Andhra Pradesh",2024,1,"spsr nellore district","2931","3961012"
"Andhra Pradesh",2024,1,"vizianagaram district","1683","2049836"
"Andhra Pradesh",2024,1,"visakhapatnam district","9034","12016206"
"Andhra Pradesh",2024,1,"prakasam district","1801","2513184"
"Andhra Pradesh",2024,1,"anantapur district","2194","3722783"
"Andhra Pradesh",2024,1,"ysr district","1935","2972264"
"Andhra Pradesh",2024,1,"west godavari district","2808","4029842"
"Andhra Pradesh",2024,1,"kurnool district","1916","2727094"
"Andhra Pradesh",2024,1,"chittoor district","4784","6901394"
"Andhra Pradesh",2024,1,"guntur district","4613","5985992"
"Andhra Pradesh",2024,1,"krishna district","5888","7907881"
"Arunachal Pradesh",2020,2,"lower dibang valley district","2","513"
"Arunachal Pradesh",2020,2,"west kameng district","2","513"
"Arunachal Pradesh",2020,2,"lower subansiri district","1","231"
"Arunachal Pradesh",2020,2,"west siang district","5","1124"
"Arunachal Pradesh",2020,2,"kamle district","1","298"
"Arunachal Pradesh",2020,2,"east siang district","2","469"
"Arunachal Pradesh",2020,2,"tirap district","5","1026"
"Arunachal Pradesh",2020,2,"lepa rada district","1","282"
"Arunachal Pradesh",2020,2,"tawang district","3","827"
"Arunachal Pradesh",2020,2,"namsai district","1","231"
"Arunachal Pradesh",2020,2,"papum pare district","33","6304"
"Arunachal Pradesh",2020,2,"changlang district","9","2511"
"Arunachal Pradesh",2020,3,"lower dibang valley district","4","843"
"Arunachal Pradesh",2020,3,"lower subansiri district","1","662"
"Arunachal Pradesh",2020,3,"longding district","1","166"
"Arunachal Pradesh",2020,3,"west siang district","5","2052"
"Arunachal Pradesh",2020,3,"kamle district","1","166"
"Arunachal Pradesh",2020,3,"upper siang district","1","281"
"Arunachal Pradesh",2020,3,"tirap district","3","939"
"Arunachal Pradesh",2020,3,"papum pare district","60","15776"
"Arunachal Pradesh",2020,3,"siang district","1","184"
"Arunachal Pradesh",2020,3,"lower siang district","1","662"
"Arunachal Pradesh",2020,3,"changlang district","2","364"
"Arunachal Pradesh",2020,3,"dibang valley district","3","66"
"Arunachal Pradesh",2020,3,"west kameng district","12","3466"
"Arunachal Pradesh",2020,3,"east siang district","22","9675"
"Arunachal Pradesh",2020,3,"upper subansiri district","2","66"
"Arunachal Pradesh",2020,3,"east kameng district","2","695"
"Arunachal Pradesh",2020,3,"lohit district","9","1557"
"Arunachal Pradesh",2020,3,"lepa rada district","1","548"
"Arunachal Pradesh",2020,3,"tawang district","1","33"
"Arunachal Pradesh",2020,3,"namsai district","3","1486"
"Arunachal Pradesh",2020,4,"lower dibang valley district","9","1981"
"Arunachal Pradesh",2020,4,"lower subansiri district","1","32"
"Arunachal Pradesh",2020,4,"west siang district","1","162"
"Arunachal Pradesh",2020,4,"tirap district","4","1561"
"Arunachal Pradesh",2020,4,"papum pare district","48","21298"
"Arunachal Pradesh",2020,4,"siang district","2","691"
"Arunachal Pradesh",2020,4,"lower siang district","1","33"
"Arunachal Pradesh",2020,4,"changlang district","7","5505"
"Arunachal Pradesh",2020,4,"pakke kessang district","2","1017"
"Arunachal Pradesh",2020,4,"dibang valley district","1","2967"
"Arunachal Pradesh",2020,4,"west kameng district","15","22182"
"Arunachal Pradesh",2020,4,"east siang district","10","8075"
"Arunachal Pradesh",2020,4,"upper subansiri district","2","1154"
"Arunachal Pradesh",2020,4,"east kameng district","1","32"
"Arunachal Pradesh",2020,4,"lohit district","5","4148"
"Arunachal Pradesh",2020,4,"lepa rada district","3","2685"
"Arunachal Pradesh",2020,4,"tawang district","10","9740"
"Arunachal Pradesh",2020,4,"namsai district","3","984"
"Arunachal Pradesh",2021,1,"lower dibang valley district","5","4680"
"Arunachal Pradesh",2021,1,"lower subansiri district","2","5103"
"Arunachal Pradesh",2021,1,"longding district","2","1334"
"Arunachal Pradesh",2021,1,"west siang district","7","3690"
"Arunachal Pradesh",2021,1,"kamle district","1","167"
"Arunachal Pradesh",2021,1,"upper siang district","5","900"
"Arunachal Pradesh",2021,1,"tirap district","7","7696"
"Arunachal Pradesh",2021,1,"papum pare district","65","62651"
"Arunachal Pradesh",2021,1,"siang district","2","136"
"Arunachal Pradesh",2021,1,"lower siang district","5","733"
"Arunachal Pradesh",2021,1,"kra daadi district","2","366"
"Arunachal Pradesh",2021,1,"changlang district","12","4524"
"Arunachal Pradesh",2021,1,"pakke kessang district","2","415"
"Arunachal Pradesh",2021,1,"dibang valley district","1","669"
"Arunachal Pradesh",2021,1,"west kameng district","15","9871"
"Arunachal Pradesh",2021,1,"east siang district","18","8695"
"Arunachal Pradesh",2021,1,"upper subansiri district","7","4237"
"Arunachal Pradesh",2021,1,"east kameng district","4","132"
"Arunachal Pradesh",2021,1,"lohit district","11","2951"
"Arunachal Pradesh",2021,1,"lepa rada district","2","1258"
"Arunachal Pradesh",2021,1,"tawang district","11","10155"
"Arunachal Pradesh",2021,1,"namsai district","8","1248"
"Arunachal Pradesh",2021,2,"lower dibang valley district","14","8091"
"Arunachal Pradesh",2021,2,"lower subansiri district","10","4236"
"Arunachal Pradesh",2021,2,"west siang district","18","8990"
"Arunachal Pradesh",2021,2,"upper siang district","1","210"
"Arunachal Pradesh",2021,2,"tirap district","1","1405"
"Arunachal Pradesh",2021,2,"papum pare district","69","89335"
"Arunachal Pradesh",2021,2,"kurung kumey district","2","94"
"Arunachal Pradesh",2021,2,"anjaw district","2","19882"
"Arunachal Pradesh",2021,2,"siang district","1","5423"
"Arunachal Pradesh",2021,2,"kra daadi district","1","210"
"Arunachal Pradesh",2021,2,"changlang district","12","11258"
"Arunachal Pradesh",2021,2,"west kameng district","20","17896"
"Arunachal Pradesh",2021,2,"shi yomi district","1","933"
"Arunachal Pradesh",2021,2,"east siang district","6","2979"
"Arunachal Pradesh",2021,2,"upper subansiri district","2","467"
"Arunachal Pradesh",2021,2,"east kameng district","4","327"
"Arunachal Pradesh",2021,2,"lohit district","16","21096"
"Arunachal Pradesh",2021,2,"tawang district","13","23216"
"Arunachal Pradesh",2021,2,"namsai district","11","8880"
"Arunachal Pradesh",2021,3,"lower dibang valley district","13","11845"
"Arunachal Pradesh",2021,3,"lower subansiri district","6","11875"
"Arunachal Pradesh",2021,3,"west siang district","21","57300"
"Arunachal Pradesh",2021,3,"kamle district","2","1245"
"Arunachal Pradesh",2021,3,"upper siang district","5","11455"
"Arunachal Pradesh",2021,3,"tirap district","14","38082"
"Arunachal Pradesh",2021,3,"papum pare district","50","95368"
"Arunachal Pradesh",2021,3,"anjaw district","1","1531"
"Arunachal Pradesh",2021,3,"lower siang district","3","1927"
"Arunachal Pradesh",2021,3,"kra daadi district","1","946"
"Arunachal Pradesh",2021,3,"changlang district","15","25894"
"Arunachal Pradesh",2021,3,"west kameng district","22","21566"
"Arunachal Pradesh",2021,3,"east siang district","23","32914"
"Arunachal Pradesh",2021,3,"upper subansiri district","2","2417"
"Arunachal Pradesh",2021,3,"lohit district","10","15097"
"Arunachal Pradesh",2021,3,"lepa rada district","1","946"
"Arunachal Pradesh",2021,3,"tawang district","8","5436"
"Arunachal Pradesh",2021,3,"namsai district","15","35207"
"Arunachal Pradesh",2021,4,"lower dibang valley district","11","12440"
"Arunachal Pradesh",2021,4,"lower subansiri district","7","10820"
"Arunachal Pradesh",2021,4,"longding district","2","4852"
"Arunachal Pradesh",2021,4,"west siang district","14","25308"
"Arunachal Pradesh",2021,4,"upper siang district","2","6420"
"Arunachal Pradesh",2021,4,"tirap district","14","37402"
"Arunachal Pradesh",2021,4,"papum pare district","128","232985"
"Arunachal Pradesh",2021,4,"kurung kumey district","2","4597"
"Arunachal Pradesh",2021,4,"anjaw district","2","1175"
"Arunachal Pradesh",2021,4,"siang district","5","7876"
"Arunachal Pradesh",2021,4,"lower siang district","2","3130"
"Arunachal Pradesh",2021,4,"changlang district","26","59532"
"Arunachal Pradesh",2021,4,"pakke kessang district","4","6980"
"Arunachal Pradesh",2021,4,"west kameng district","37","61049"
"Arunachal Pradesh",2021,4,"east siang district","7","22841"
"Arunachal Pradesh",2021,4,"upper subansiri district","4","6632"
"Arunachal Pradesh",2021,4,"east kameng district","4","4783"
"Arunachal Pradesh",2021,4,"lohit district","17","19353"
"Arunachal Pradesh",2021,4,"lepa rada district","4","22217"
"Arunachal Pradesh",2021,4,"tawang district","14","28772"
"Arunachal Pradesh",2021,4,"namsai district","14","19295"
"Arunachal Pradesh",2022,1,"lower dibang valley district","10","17012"
"Arunachal Pradesh",2022,1,"lower subansiri district","9","27520"
"Arunachal Pradesh",2022,1,"longding district","6","18234"
"Arunachal Pradesh",2022,1,"west siang district","7","16731"
"Arunachal Pradesh",2022,1,"kamle district","2","3042"
"Arunachal Pradesh",2022,1,"tirap district","22","98280"
"Arunachal Pradesh",2022,1,"papum pare district","149","339981"
"Arunachal Pradesh",2022,1,"kurung kumey district","2","2907"
"Arunachal Pradesh",2022,1,"anjaw district","1","56"
"Arunachal Pradesh",2022,1,"siang district","3","10551"
"Arunachal Pradesh",2022,1,"lower siang district","6","16596"
"Arunachal Pradesh",2022,1,"kra daadi district","1","56"
"Arunachal Pradesh",2022,1,"changlang district","22","41022"
"Arunachal Pradesh",2022,1,"pakke kessang district","2","4537"
"Arunachal Pradesh",2022,1,"dibang valley district","2","4047"
"Arunachal Pradesh",2022,1,"west kameng district","36","83342"
"Arunachal Pradesh",2022,1,"shi yomi district","1","1335"
"Arunachal Pradesh",2022,1,"east siang district","22","50073"
"Arunachal Pradesh",2022,1,"upper subansiri district","5","7374"
"Arunachal Pradesh",2022,1,"east kameng district","1","56"
"Arunachal Pradesh",2022,1,"lohit district","17","33684"
"Arunachal Pradesh",2022,1,"lepa rada district","5","32299"
"Arunachal Pradesh",2022,1,"tawang district","11","59469"
"Arunachal Pradesh",2022,1,"namsai district","13","25903"
"Arunachal Pradesh",2022,2,"lower dibang valley district","13","25061"
"Arunachal Pradesh",2022,2,"lower subansiri district","7","13328"
"Arunachal Pradesh",2022,2,"longding district","3","6396"
"Arunachal Pradesh",2022,2,"west siang district","24","54485"
"Arunachal Pradesh",2022,2,"kamle district","2","1353"
"Arunachal Pradesh",2022,2,"upper siang district","2","7050"
"Arunachal Pradesh",2022,2,"tirap district","15","32728"
"Arunachal Pradesh",2022,2,"papum pare district","310","752159"
"Arunachal Pradesh",2022,2,"kurung kumey district","2","3224"
"Arunachal Pradesh",2022,2,"lower siang district","3","9427"
"Arunachal Pradesh",2022,2,"kra daadi district","3","4261"
"Arunachal Pradesh",2022,2,"changlang district","25","51823"
"Arunachal Pradesh",2022,2,"west kameng district","47","115575"
"Arunachal Pradesh",2022,2,"east siang district","29","107087"
"Arunachal Pradesh",2022,2,"upper subansiri district","4","1295"
"Arunachal Pradesh",2022,2,"east kameng district","10","17345"
"Arunachal Pradesh",2022,2,"lohit district","21","59273"
"Arunachal Pradesh",2022,2,"lepa rada district","4","2554"
"Arunachal Pradesh",2022,2,"tawang district","26","61225"
"Arunachal Pradesh",2022,2,"namsai district","14","34582"
"Arunachal Pradesh",2022,3,"lower dibang valley district","17","26960"
"Arunachal Pradesh",2022,3,"lower subansiri district","11","26683"
"Arunachal Pradesh",2022,3,"longding district","2","9842"
"Arunachal Pradesh",2022,3,"west siang district","16","86941"
"Arunachal Pradesh",2022,3,"kamle district","1","2325"
"Arunachal Pradesh",2022,3,"upper siang district","4","6334"
"Arunachal Pradesh",2022,3,"tirap district","23","54004"
"Arunachal Pradesh",2022,3,"papum pare district","250","590296"
"Arunachal Pradesh",2022,3,"anjaw district","1","1758"
"Arunachal Pradesh",2022,3,"siang district","2","6421"
"Arunachal Pradesh",2022,3,"lower siang district","3","4229"
"Arunachal Pradesh",2022,3,"kra daadi district","1","5626"
"Arunachal Pradesh",2022,3,"changlang district","22","53679"
"Arunachal Pradesh",2022,3,"pakke kessang district","2","2018"
"Arunachal Pradesh",2022,3,"west kameng district","42","118030"
"Arunachal Pradesh",2022,3,"shi yomi district","1","1304"
"Arunachal Pradesh",2022,3,"east siang district","35","54567"
"Arunachal Pradesh",2022,3,"upper subansiri district","1","720"
"Arunachal Pradesh",2022,3,"east kameng district","15","25996"
"Arunachal Pradesh",2022,3,"lohit district","18","45865"
"Arunachal Pradesh",2022,3,"lepa rada district","5","9636"
"Arunachal Pradesh",2022,3,"tawang district","24","112439"
"Arunachal Pradesh",2022,3,"namsai district","14","54631"
"Arunachal Pradesh",2022,4,"lower dibang valley district","23","56348"
"Arunachal Pradesh",2022,4,"lower subansiri district","14","21747"
"Arunachal Pradesh",2022,4,"longding district","8","30147"
"Arunachal Pradesh",2022,4,"west siang district","22","42902"
"Arunachal Pradesh",2022,4,"upper siang district","10","38307"
"Arunachal Pradesh",2022,4,"tirap district","22","69612"
